alert_id,timestamp,source_type,device_id,device_type,building,floor,alert_type,severity_raw,value,threshold,confidence,correlation_id
79ad0a83-941e-46b9-b914-728339794439,2026-04-01 00:02:17,camera,cam_116,camera,B16,2,smoke_detected,4,,,0.291,
69c63963-c116-4b62-a8d9-536549ca3678,2026-04-01 00:02:30,sensor,hvac_002,hvac,B7,7,filter_clog,1,88.32,60.91,,
b9c918dd-38f8-4cb5-951c-22d0f8558ec8,2026-04-01 00:02:52,sensor,lighting_046,lighting,B20,6,circuit_fault,5,10.99,80.33,,
936c0cd5-3514-49d3-9a98-438429677ef7,2026-04-01 00:02:54,camera,cam_053,camera,B9,1,object_left,2,,,0.595,
d7404e24-16c8-44f0-834d-9c06422a14ed,2026-04-01 00:04:36,camera,cam_018,camera,B9,0,fall_detected,2,,,0.105,
d314c730-87f3-47d4-8440-044f2462636d,2026-04-01 00:05:22,camera,cam_125,camera,B2,-1,smoke_detected,4,,,0.128,
fd16405a-1e79-4fb5-9304-3319eca423b7,2026-04-01 00:05:58,sensor,hvac_046,hvac,B15,18,fan_fault,2,71.8,80.75,,
b716fd80-3b4a-4f4a-bf7c-4473185001d6,2026-04-01 00:06:00,sensor,hvac_BROKEN_001,hvac,B13,7,sensor_fault,2,73.03,59.33,,
01031e9f-0374-41b4-9d27-3158e3536041,2026-04-01 00:07:07,sensor,hvac_020,hvac,B10,8,water_temp_high,5,93.17,80.92,,
4ae6702f-0948-462c-a21f-7c001b309f7c,2026-04-01 00:07:12,sensor,lighting_072,lighting,B5,19,circuit_fault,2,0.02,62.44,,
693bb247-71f8-473f-ba38-1d41a6226e07,2026-04-01 00:09:00,sensor,hvac_BROKEN_001,hvac,B13,7,sensor_fault,3,95.95,58.33,,
678f0af1-1398-4b41-836a-e1ce3a166f1a,2026-04-01 00:10:37,sensor,hvac_009,hvac,B8,14,compressor_alarm,4,41.21,88.82,,
fd09ede0-5388-4a1b-9ccb-9fcb70f8759b,2026-04-01 00:10:42,camera,cam_005,camera,B2,-1,object_left,1,,,0.605,
d12ab8db-7cc7-4e3e-84e3-237a7bf51db6,2026-04-01 00:10:44,camera,cam_025,camera,B17,0,people_gathering,3,,,0.318,
